Phrase ^ Count
and the  ^ 717
the side of the tabernacle  ^ 5
aaron and his sons  ^ 5
the two sides  ^ 5
the names of the children  ^ 5
garments for aaron  ^ 5
in the two  ^ 5
all the blood  ^ 5
all the fat  ^ 5
it is a sin offering.  ^ 5
the tip of the right  ^ 5
of the right ear  ^ 5
the altar round about.  ^ 5
them for a wave offering before  ^ 5
days' journey  ^ 5
and he said, here  ^ 5
and the anointing oil,  ^ 5
from among his people.  ^ 5
we know not  ^ 5
if now  ^ 5
of the tribe of judah,  ^ 5
and thou shalt say unto  ^ 5
into the ark,  ^ 5
then the lord said  ^ 5
are the names of the sons  ^ 5
unto them; as  ^ 5
and the lord did  ^ 5
man and beast  ^ 5
that i saw  ^ 5
the house of israel.  ^ 5
am the lord god.  ^ 5
that i have done  ^ 5
that which is lawful and right,  ^ 5
a lamentation for  ^ 5
if a man do,  ^ 5
my judgments, and do  ^ 5
of man, speak  ^ 5
ye will not hearken  ^ 5
also, thou son  ^ 5
against the land  ^ 5
lift up thine eyes  ^ 5
have spoken it , saith  ^ 5
it , saith the lord  ^ 5
day of the month, that the word  ^ 5
no more:  ^ 5
and there shall be no  ^ 5
behold, i will give  ^ 5
thou art not  ^ 5
speak to  ^ 5
the lord do sanctify  ^ 5
of the house of israel.  ^ 5
the utter court,  ^ 5
neither shall any  ^ 5
spare, neither  ^ 5
the son of jozadak,  ^ 5
fifty and four.  ^ 5
seventy and two.  ^ 5
hundred and thirty.  ^ 5
two hundred forty  ^ 5
zerubbabel the son  ^ 5
beyond the river,  ^ 5
for the priests  ^ 5
males. and of the sons  ^ 5
johanan the son  ^ 5
by the works  ^ 5
shall live by  ^ 5
for righteousness.  ^ 5
so. and god  ^ 5
that it was good.  ^ 5
day. and god  ^ 5
creeping thing that creepeth  ^ 5
now these are the generations  ^ 5
and abraham said  ^ 5
there. and he said,  ^ 5
and he said, i will not  ^ 5
unto him, where  ^ 5
it is not good  ^ 5
fear not;  ^ 5
oil upon  ^ 5
and laban said  ^ 5
seven other  ^ 5
and she conceived again,  ^ 5
and israel said  ^ 5
and thou,  ^ 5
now also  ^ 5
shall not depart  ^ 5
and five years,  ^ 5
of all flesh,  ^ 5
the son of josedech,  ^ 5
thine enemies  ^ 5
son? and  ^ 5
their hearts,  ^ 5
this is the  ^ 5
god. but  ^ 5
it is written of  ^ 5
of the throne  ^ 5
the lord loveth  ^ 5
they have no  ^ 5
and honor,  ^ 5
generation, and  ^ 5
the seventh  ^ 5
forever after  ^ 5
and made  ^ 5
while the  ^ 5
the princes of judah  ^ 5
for the mouth  ^ 5
the mouth of the lord  ^ 5
the holy one of israel,  ^ 5
this his anger  ^ 5
his anger is not  ^ 5
is not turned away,  ^ 5
turned away, but his hand  ^ 5
but his hand is stretched out  ^ 5
is stretched out still.  ^ 5
a vow unto the lord,  ^ 5
against nation,  ^ 5
thou shalt no more  ^ 5
all the earth:  ^ 5
the ends of the earth.  ^ 5
that fight against  ^ 5
behold, i will make  ^ 5
hearken to  ^ 5
every day  ^ 5
me, saith the lord,  ^ 5
counsel against  ^ 5
the poor  ^ 5
whosoever therefore  ^ 5
of judah, which  ^ 5
of judah, and in the streets  ^ 5
nor inclined  ^ 5
they prophesy  ^ 5
the lord liveth,  ^ 5
in this place,  ^ 5
on the sabbath day,  ^ 5
from his evil way,  ^ 5
that jeremiah  ^ 5
upon you  ^ 5
unto me, what  ^ 5
year of jehoiakim  ^ 5
and to the king  ^ 5
my servants the prophets,  ^ 5
thou hast sent  ^ 5
anger of the lord  ^ 5
baruch the son  ^ 5
the king of babylon's  ^ 5
unto them, come  ^ 5
a sword is upon  ^ 5
which had  ^ 5
of the daughter of my people  ^ 5
why then  ^ 5
there was a man  ^ 5
with what  ^ 5
the workers of iniquity  ^ 5
slow to anger,  ^ 5
and cried,  ^ 5
the christ.  ^ 5
what then?  ^ 5
said they unto him,  ^ 5
thou be  ^ 5
said unto me,  ^ 5
disciples heard  ^ 5
unto him, rabbi,  ^ 5
sheep, and  ^ 5
them said,  ^ 5
and i know  ^ 5
name, and  ^ 5
me not.  ^ 5
spake jesus  ^ 5
unto him, yea,  ^ 5
him. now  ^ 5
jesus therefore  ^ 5
pharisees, and  ^ 5
what think  ^ 5
the passover  ^ 5
lord, who  ^ 5
but on  ^ 5
believeth on  ^ 5
there: and  ^ 5
the feast  ^ 5
his garments,  ^ 5
peter saith  ^ 5
him not,  ^ 5
i have told you  ^ 5
disciples said  ^ 5
me; for  ^ 5
his right  ^ 5
of the high priest,  ^ 5
upon him,  ^ 5
head, and  ^ 5
to jesus,  ^ 5
in three  ^ 5
and knew  ^ 5
mary magdalene  ^ 5
not where  ^ 5
unto him, sir,  ^ 5
my father:  ^ 5
the twelve,  ^ 5
behold my  ^ 5
everlasting life.  ^ 5
cast into  ^ 5
unto her, if  ^ 5
into everlasting  ^ 5
jesus himself  ^ 5
into galilee.  ^ 5
they besought him  ^ 5
and they said  ^ 5
will, but  ^ 5
to me,  ^ 5
nigh unto the  ^ 5
loaves, and  ^ 5
him, lord,  ^ 5
give us  ^ 5
unto you, whosoever  ^ 5
ye therefore  ^ 5
him? and  ^ 5
and some of  ^ 5
of the children of reuben  ^ 5
six cities  ^ 5
with their villages. this  ^ 5
of the children of asher  ^ 5
of the children of dan  ^ 5
behold, there came  ^ 5
before the congregation  ^ 5
a city of refuge  ^ 5
of refuge for the slayer;  ^ 5
of aaron the priest  ^ 5
to be a city  ^ 5
of aaron the priest,  ^ 5
of gad and the children  ^ 5
till all  ^ 5
moses commanded,  ^ 5
the cities  ^ 5
drive out the inhabitants  ^ 5
and he judged israel  ^ 5
and when he came  ^ 5
and gideon said  ^ 5
unto gideon,  ^ 5
zebah and zalmunna,  ^ 5
the men of shechem,  ^ 5
aaron's sons,  ^ 5
an offering made by fire, of a sweet  ^ 5
turtledoves, or  ^ 5
his clothes, and be unclean  ^ 5
shall be unclean until  ^ 5
unto the priest:  ^ 5
and the priest shall look on  ^ 5
either in the warp,  ^ 5
in the warp, or  ^ 5
for a meat offering, mingled  ^ 5
the thumb of his right  ^ 5
of his right hand,  ^ 5
the great toe of his right  ^ 5
the lord. and the priest  ^ 5
and the priest shall offer  ^ 5
the priest: and the priest  ^ 5
of israel, or of  ^ 5
or of the strangers  ^ 5
and to his sons,  ^ 5
unto them, whosoever  ^ 5
command the children  ^ 5
then thy estimation shall be  ^ 5
the inwards, and the two  ^ 5
and the caul above  ^ 5
the liver, with  ^ 5
with the kidneys,  ^ 5
them, which is by  ^ 5
is by the flanks,  ^ 5
the flanks, and the caul  ^ 5
and all the fat  ^ 5
and aaron's sons  ^ 5
savor unto the lord;  ^ 5
of the goats for a sin offering;  ^ 5
men. and  ^ 5
the child  ^ 5
the harvest  ^ 5
master, what  ^ 5
strength, and  ^ 5
devils. and  ^ 5
it came to pass, as he  ^ 5
shall also the  ^ 5
it: for  ^ 5
of the cup  ^ 5
and all manner  ^ 5
the leaven  ^ 5
his house  ^ 5
before men,  ^ 5
teaching in  ^ 5
behold, there was  ^ 5
a grain of mustard seed,  ^ 5
lord, lord,  ^ 5
shall be weeping  ^ 5
when ye shall see  ^ 5
for herod  ^ 5
devils, and  ^ 5
as he went  ^ 5
cross, and  ^ 5
and they could  ^ 5
the publicans  ^ 5
and he sent  ^ 5
servants, and  ^ 5
man, which  ^ 5
the other.  ^ 5
moses and  ^ 5
the days will come,  ^ 5
many things, and  ^ 5
shall be taken, and  ^ 5
upon his  ^ 5
shall not receive  ^ 5
now when jesus  ^ 5
and hearing  ^ 5
jesus, thou son  ^ 5
of david, have mercy  ^ 5
and when they saw  ^ 5
of the scribes  ^ 5
if we shall say,  ^ 5
authority i do  ^ 5
i do these things.  ^ 5
glory. and  ^ 5
kingdom, and  ^ 5
followed him.  ^ 5
of the twelve,  ^ 5
with swords  ^ 5
swords and  ^ 5
thou shalt deny me  ^ 5
and there followed  ^ 5
him a great  ^ 5
man. and  ^ 5
it in  ^ 5
unto them in  ^ 5
and he began  ^ 5
the son of god,  ^ 5
into a desert  ^ 5
the lake  ^ 5
and followed him.  ^ 5
thy sins  ^ 5
but when jesus  ^ 5
of man hath  ^ 5
and he left  ^ 5
and andrew  ^ 5
and healed  ^ 5
the beam  ^ 5
thy brother's  ^ 5
with the baptism  ^ 5
the winds  ^ 5
let him hear. and  ^ 5
five loaves  ^ 5
his raiment  ^ 5
he taught them  ^ 5
or mother,  ^ 5
and james  ^ 5
and they come  ^ 5
angels, and  ^ 5
so then  ^ 5
which had the  ^ 5
came unto him,  ^ 5
see. and  ^ 5
father or  ^ 5
the commandment  ^ 5
better for thee  ^ 5
for thee to enter  ^ 5
from their  ^ 5
the tree  ^ 5
days and  ^ 5
heavenly father  ^ 5
or the  ^ 5
 his  ^ 5
and a  ^ 5
the ruler of the half  ^ 5
of the half part  ^ 5
gate repaired  ^ 5
hundred and fifty.  ^ 5
hundred. these  ^ 5
the son of ammihud.  ^ 5
and moses sent  ^ 5
tenth deals of flour  ^ 5
and moses and eleazar  ^ 5
and he took up his parable,  ^ 5
young bullocks,  ^ 5
and two tenth deals  ^ 5
three tenth deals  ^ 5
burnt offering, and his meat offering,  ^ 5
rams, and fourteen  ^ 5
and fourteen lambs  ^ 5
his meat offering, and his drink offering.  ^ 5
and their meat offering and their drink offerings  ^ 5
goat for a sin offering;  ^ 5
which ye shall give  ^ 5
of their fathers, from thirty  ^ 5
and upward even unto  ^ 5
even unto fifty  ^ 5
ye the lord. o give thanks  ^ 5
for he is good:  ^ 5
a song of degrees  ^ 5
to the chief musician on neginoth,  ^ 5
all the earth.  ^ 5
a psalm or song  ^ 5
i saw another  ^ 5
a great voice  ^ 5
earth and  ^ 5
seven heads  ^ 5
the beast,  ^ 5
i heard the  ^ 5
four and twenty elders  ^ 5
apart, and their wives  ^ 5
of hosts hath sent  ^ 5
sheba, and dedan.  ^ 4
shem, ham,  ^ 4
reigned in his stead:  ^ 4
in his stead: and the name  ^ 4
in mount gilboa.  ^ 4
fled from before  ^ 4
and fell upon  ^ 4
of rephaim. and david  ^ 4
of these men  ^ 4
he slew  ^ 4
the brother of joab,  ^ 4
david king  ^ 4
and david and all  ^ 4
of david. and david  ^ 4
in the first month,  ^ 4
the lords of the philistines  ^ 4
seven thousand  ^ 4
the children of benjamin,  ^ 4
twenty thousand  ^ 4
of god that  ^ 4
and the lord blessed  ^ 4
of all the people.  ^ 4
and david inquired  ^ 4
of god, saying,  ^ 4
saying, shall i go up  ^ 4
all nations.  ^ 4
him king over  ^ 4
and david heard  ^ 4
of israel unto  ^ 4
to bring up the ark  ^ 4
of israel. and the children  ^ 4
according to the word of the lord.  ^ 4
and david spoke  ^ 4
the sons of merari  ^ 4
and the elders of israel,  ^ 4
seven bullocks  ^ 4
that bore the ark  ^ 4
to the city  ^ 4
all gods.  ^ 4
at the presence of the lord,  ^ 4
continually before  ^ 4
that i commanded  ^ 4
was before  ^ 4
i will be  ^ 4
unto david.  ^ 4
who am i,  ^ 4
for thou knowest  ^ 4
as thou hast said.  ^ 4
before for  ^ 4
lord, thou  ^ 4
israel unto  ^ 4
david, thus  ^ 4
neither shall the children  ^ 4
the silver and the gold  ^ 4
preserved david  ^ 4
david whithersoever  ^ 4
whithersoever he went.  ^ 4
judgment and justice  ^ 4
and joab the son  ^ 4
and jehoshaphat the son  ^ 4
and brought gifts.  ^ 4
of gold that  ^ 4
the king of the children  ^ 4
be too strong for  ^ 4
and he said, if  ^ 4
fled before  ^ 4
and when the children of ammon  ^ 4
of ammon saw  ^ 4
the captain of the host  ^ 4
israel; and david  ^ 4
and caleb the son  ^ 4
wife bore  ^ 4
bore him  ^ 4
no sons,  ^ 4
sons, but  ^ 4
to wife; and she bore  ^ 4
begot azariah,  ^ 4
and azariah begot  ^ 4
david, and said  ^ 4
and said unto him, thus  ^ 4
his eyes, and saw  ^ 4
of the lord commanded  ^ 4
sons with  ^ 4
david said  ^ 4
hundred shekels  ^ 4
an altar unto the lord,  ^ 4
and came to jerusalem.  ^ 4
threescore and ten thousand  ^ 4
of the people unto  ^ 4
the lord be  ^ 4
for the house of the lord  ^ 4
solomon his son,  ^ 4
is not the lord  ^ 4
to build the house  ^ 4
build a house  ^ 4
the princes of israel,  ^ 4
of the service of the house  ^ 4
kohath, and merari.  ^ 4
died before  ^ 4
of the children of ephraim,  ^ 4
of the tribes of israel.  ^ 4
unto jerusalem.  ^ 4
the lord hath chosen  ^ 4
that he had  ^ 4
to sit upon  ^ 4
as at this day.  ^ 4
of all israel  ^ 4
the lord before  ^ 4
of abraham, isaac,  ^ 4
onyx stones,  ^ 4
and over all  ^ 4
five thousand  ^ 4
there unto  ^ 4
saying, because  ^ 4
thousand seven  ^ 4
the tribe of manasseh,  ^ 4
stirred up the spirit  ^ 4
who dwelt  ^ 4
the son of elkanah,  ^ 4
of jeroham, the son  ^ 4
the son of azariah,  ^ 4
the son of zerah,  ^ 4
the son of hashabiah,  ^ 4
of hilkiah, the son  ^ 4
cities with their suburbs.  ^ 4
bore a son,  ^ 4
the son of machir,  ^ 4
of the children of manasseh,  ^ 4
and thirty thousand  ^ 4
heads of the house  ^ 4
dwelt with  ^ 4
of the kings of israel  ^ 4
the son of zadok,  ^ 4
and zechariah the son  ^ 4
them. for  ^ 4
lord. now  ^ 4
christ, that  ^ 4
now i beseech  ^ 4
brethren, by  ^ 4
name of our  ^ 4
now this  ^ 4
god that  ^ 4
for christ  ^ 4
unto the church  ^ 4
no flesh  ^ 4
and from the lord  ^ 4
from the lord jesus  ^ 4
wisdom, and  ^ 4
of god which is given  ^ 4
i thank my  ^ 4
and in all  ^ 4
in every thing  ^ 4
christ: who  ^ 4
unto the end,  ^ 4
the cloud,  ^ 4
all our  ^ 4
is it not  ^ 4
all things are lawful  ^ 4
for why  ^ 4
the wilderness.  ^ 4
with many  ^ 4
and fell  ^ 4
if a woman  ^ 4
no such  ^ 4
keep the  ^ 4
my body,  ^ 4
do in  ^ 4
this cup  ^ 4
the lord's  ^ 4
and blood  ^ 4
drink of  ^ 4
but i would  ^ 4
and glory  ^ 4
 neither  ^ 4
now concerning  ^ 4
the body;  ^ 4
one of them  ^ 4
now ye  ^ 4
by the spirit  ^ 4
the spirit of god  ^ 4
spirit. and  ^ 4
in all.  ^ 4
it is the  ^ 4
my body  ^ 4
in the world,  ^ 4
therefore if  ^ 4
for no man  ^ 4
brethren, be  ^ 4
say that  ^ 4
and forbid  ^ 4
not to speak  ^ 4
i come unto  ^ 4
if christ  ^ 4
the dead rise  ^ 4
hope in  ^ 4
died for  ^ 4
for tomorrow  ^ 4
god giveth  ^ 4
glory of the  ^ 4
it is sown in  ^ 4
inherit the kingdom  ^ 4
so when  ^ 4
last of all  ^ 4
unto me:  ^ 4
the faith,  ^ 4
a holy kiss.  ^ 4
with a holy  ^ 4
the salutation  ^ 4
neither can  ^ 4
not the things  ^ 4
in much  ^ 4
of men, but  ^ 4
to the grace  ^ 4
is jesus  ^ 4
precious stones,  ^ 4
and that the  ^ 4
wise in  ^ 4
glory in  ^ 4
life, or  ^ 4
are ye not  ^ 4
for ye are  ^ 4
then is  ^ 4
neither is  ^ 4
the lord, who  ^ 4
of god.   ^ 4
hearts: and  ^ 4
us not  ^ 4
and such  ^ 4
neither with  ^ 4
unto you in  ^ 4
lord is  ^ 4
spirit, which  ^ 4
the church.  ^ 4
and let not  ^ 4
to dwell with  ^ 4
which hath  ^ 4
the unbelieving  ^ 4
now are  ^ 4
careth for the things  ^ 4
lord, that  ^ 4
the husband  ^ 4
the lord. but  ^ 4
you not  ^ 4
it is good  ^ 4
whom are all things,  ^ 4
by him.  ^ 4
gospel of christ.  ^ 4
than that  ^ 4
and as the  ^ 4
a vineyard, and  ^ 4
we say that  ^ 4
that we have  ^ 4
faithful and  ^ 4
darkness, and  ^ 4
not whither  ^ 4
love the  ^ 4
father is  ^ 4
but is  ^ 4
us. but  ^ 4
truth, but  ^ 4
and keepeth  ^ 4
hereby know  ^ 4
whosoever doeth  ^ 4
he that loveth not  ^ 4
eternal life  ^ 4
him, how  ^ 4
our hearts  ^ 4
our heart  ^ 4
commandments, and  ^ 4
he in  ^ 4
of the devil.  ^ 4
the devil;  ^ 4
sent his  ^ 4
herein is  ^ 4
in god.  ^ 4
is our  ^ 4
spirit that  ^ 4
god heareth  ^ 4
heareth not  ^ 4
he that hath the  ^ 4
son of god;  ^ 4
that ye have  ^ 4
him. if  ^ 4
is come, and  ^ 4
water and  ^ 4
shall reign after  ^ 4
after me, and he  ^ 4
me, and he shall sit  ^ 4
the king's sons,  ^ 4
liveth, that  ^ 4
and nathan the prophet,  ^ 4
heard the sound  ^ 4
and fifty men  ^ 4
and when the queen of sheba  ^ 4
and precious stones:  ^ 4
made of  ^ 4
solomon gave  ^ 4
was six  ^ 4
gold, and silver,  ^ 4
year by year.  ^ 4
and twelve thousand  ^ 4
other gods:  ^ 4
which i have commanded  ^ 4
i will not do  ^ 4
unto pharaoh  ^ 4
men unto  ^ 4
and three hundred  ^ 4
which i have chosen  ^ 4
always before  ^ 4
that thy soul  ^ 4
after the lord,  ^ 4
you with whips, but i  ^ 4
the people came  ^ 4
the third day,  ^ 4
day. and the king  ^ 4
of david unto  ^ 4
and it came to pass, when all  ^ 4
israel heard  ^ 4
a hundred and fourscore  ^ 4
of judah and benjamin,  ^ 4
in mount ephraim,  ^ 4
the priests of the high places  ^ 4
unto the children of israel:  ^ 4
upon the altar,  ^ 4
saying, thy father  ^ 4
this people?  ^ 4
and king rehoboam  ^ 4
a man of god  ^ 4
and went after  ^ 4
then he said unto  ^ 4
against the altar  ^ 4
unto the prophet  ^ 4
the prophet that  ^ 4
and he cried unto  ^ 4
thy god commanded  ^ 4
and it came to pass, after  ^ 4
his sons, saying,  ^ 4
and laid it upon  ^ 4
the face of the lord  ^ 4
shall come to  ^ 4
this good  ^ 4
land, which  ^ 4
the prophet, which  ^ 4
over this  ^ 4
to put his name  ^ 4
and one years  ^ 4
above all that  ^ 4
of israel. and it came to pass  ^ 4
of egypt came up  ^ 4
all their days.  ^ 4
thus and thus  ^ 4
reigned he in jerusalem.  ^ 4
the lord all  ^ 4
all his days.  ^ 4
of judah, and reigned  ^ 4
and he did evil  ^ 4
the days of his life,  ^ 4
jehu the son  ^ 4
and seventh year  ^ 4
destroy all  ^ 4
in all the way  ^ 4
he did, and his might,  ^ 4
liveth, before  ^ 4
whom i stand,  ^ 4
there shall not be  ^ 4
but according  ^ 4
a little water  ^ 4
and cried unto  ^ 4
to elijah  ^ 4
behold, elijah  ^ 4
but thou,  ^ 4
to me  ^ 4
me all  ^ 4
if the lord  ^ 4
and said, how long  ^ 4
no fire  ^ 4
which was given  ^ 4
came, saying,  ^ 4
and there was a great  ^ 4
on his face,  ^ 4
that my lord  ^ 4
a messenger unto  ^ 4
saying, so  ^ 4
to me, and more also,  ^ 4
god do  ^ 4
liveth, which  ^ 4
thy god, to walk  ^ 4
the king word  ^ 4
sent and called  ^ 4
as my lord  ^ 4
days. and it came to pass  ^ 4
that thou didst  ^ 4
which followed  ^ 4
and see what  ^ 4
of israel, and said  ^ 4
unto him, behold  ^ 4
by the way,  ^ 4
he cried  ^ 4
and he said, thy servant  ^ 4
he sent unto  ^ 4
then the king of israel  ^ 4
of israel called  ^ 4
two men,  ^ 4
out of the city,  ^ 4
elijah the tishbite,  ^ 4
saying, give  ^ 4
eat. but  ^ 4
of israel. and it came to pass,  ^ 4
and all the prophets  ^ 4
the prophets prophesied  ^ 4
and jehoshaphat the king  ^ 4
the son of chenaanah  ^ 4
for the lord shall deliver  ^ 4
saying, go up  ^ 4
the words of the prophets  ^ 4
ramoth-gilead to battle,  ^ 4
to battle, or  ^ 4
spirit in the mouth  ^ 4
a lying spirit  ^ 4
now therefore, behold,  ^ 4
of all these  ^ 4
me to speak unto  ^ 4
behold, thou shalt see  ^ 4
the governor of the city,  ^ 4
so the king of israel  ^ 4
every man to  ^ 4
when he began to reign; and he reigned  ^ 4
and he reigned twenty  ^ 4
out of the land.  ^ 4
inquire, i pray thee,  ^ 4
and jehoshaphat said,  ^ 4
said, is there not  ^ 4
of the lord:  ^ 4
said, let not  ^ 4
my lord, i  ^ 4
no; but  ^ 4
give her  ^ 4
they saw that  ^ 4
upon that  ^ 4
appeared to  ^ 4
and now, o lord  ^ 4
was king  ^ 4
day was  ^ 4
even to beer-sheba,  ^ 4
gave solomon  ^ 4
he had heard that  ^ 4
for he had heard  ^ 4
thousand measures  ^ 4
thirty thousand  ^ 4
until the lord  ^ 4
but now the lord  ^ 4
the lord my god  ^ 4
a wise son  ^ 4
and the house which  ^ 4
which king  ^ 4
two cherubims  ^ 4
cubits was the length  ^ 4
the inner court  ^ 4
for without  ^ 4
was five cubits  ^ 4
cubits broad,  ^ 4
was five cubits,  ^ 4
cubits, and the height  ^ 4
that were upon  ^ 4
which was by  ^ 4
cubits the breadth  ^ 4
cubits the height  ^ 4
upon the mouth  ^ 4
solomon for the house  ^ 4
to cover the two  ^ 4
of pure gold,  ^ 4
the chief of the fathers  ^ 4
a house for the name  ^ 4
for the name of the lord  ^ 4
which he made  ^ 4
with thy servant david  ^ 4
fail thee a man  ^ 4
to hearken unto  ^ 4
which thy servant  ^ 4
and of thy people israel,  ^ 4
house: then hear  ^ 4
and forgive the sin  ^ 4
no rain,  ^ 4
thy land, which  ^ 4
thy people israel,  ^ 4
thy dwelling place,  ^ 4
the days that  ^ 4
live in  ^ 4
people of the earth  ^ 4
which i have built  ^ 4
and to keep his commandments,  ^ 4
the people of the earth  ^ 4
of peace offerings, which  ^ 4
the two tables  ^ 4
the canaanites that dwelt  ^ 4
which were not  ^ 4
which is beside  ^ 4
with the servants  ^ 4
done thus  ^ 4
thus unto this  ^ 4
that not  ^ 4
christ: grace  ^ 4
the foundation of the world,  ^ 4
the dead, and  ^ 4
one another with  ^ 4
endureth forever.  ^ 4
blessed be the  ^ 4
and father  ^ 4
father of our  ^ 4
in the last  ^ 4
of god through  ^ 4
so is  ^ 4
will of god,  ^ 4
for ye were  ^ 4
men, but  ^ 4
the scripture,  ^ 4
behold, i lay  ^ 4
the builders  ^ 4
the stone which  ^ 4
peace, and  ^ 4
evil. and  ^ 4
your hearts:  ^ 4
grace of god.  ^ 4
when his  ^ 4
will of the  ^ 4
for the time  ^ 4
them to the  ^ 4
for you.  ^ 4
all your  ^ 4
of mount ephraim,  ^ 4
upon his head.  ^ 4
wine nor strong drink,  ^ 4
hophni and phinehas,  ^ 4
of israel, i  ^ 4
god save the king.  ^ 4
also went  ^ 4
and encamped against  ^ 4
for today  ^ 4
saying, whosoever  ^ 4
shall reign over  ^ 4
came against  ^ 4
unto them, the lord  ^ 4
what hast thou done?  ^ 4
because thou hast not  ^ 4
hundred men.  ^ 4
every man to his tent.  ^ 4
with israel,  ^ 4
unto the young man  ^ 4
come up to  ^ 4
is gone from  ^ 4
saying, cursed  ^ 4
that eateth  ^ 4
saying, saul  ^ 4
of the lord. thus  ^ 4
is over against  ^ 4
and would not  ^ 4
israel. and the lord  ^ 4
unto jesse,  ^ 4
and david came  ^ 4
and saul sent  ^ 4
and i will show  ^ 4
for man  ^ 4
that went  ^ 4
came on  ^ 4
and all this  ^ 4
arose, and came  ^ 4
from the slaughter of  ^ 4
saul's daughter  ^ 4
the men of war,  ^ 4
all his servants,  ^ 4
to samuel  ^ 4
behold, david  ^ 4
came, and said  ^ 4
and if not,  ^ 4
for men  ^ 4
for there is none  ^ 4
by all  ^ 4
and it shall come to pass, that every one  ^ 4
what have i done?  ^ 4
the lord do  ^ 4
any thing that  ^ 4
unto him, wherefore  ^ 4
and it came to pass in the morning,  ^ 4
whatsoever thy soul  ^ 4
from before the lord,  ^ 4
hear now,  ^ 4
and all his servants  ^ 4
to come to  ^ 4
then said david,  ^ 4
a covenant before  ^ 4
and david and his men  ^ 4
and his men went  ^ 4
god hath delivered  ^ 4
him, saying, behold,  ^ 4
out of all israel,  ^ 4
of which the lord  ^ 4
looked behind  ^ 4
david sent  ^ 4
all the while  ^ 4
thousand sheep,  ^ 4
and hear the words  ^ 4
at his feet,  ^ 4
