Phrase ^ Count
and the lord spoke unto moses, saying,  ^ 72
all. amen. paul, an apostle of jesus  ^ 2
faith and love which is in  ^ 2
and love which is in christ  ^ 2
love which is in christ jesus.  ^ 2
be blameless, the husband of one wife,  ^ 2
not given to wine, no striker, not  ^ 2
and prayers night and day.  ^ 2
of our lord jesus christ, and  ^ 2
in the chariot cities, and with the king at jerusalem.  ^ 2
my father chastised you with whips, but i will chastise you with scorpions.  ^ 2
first and last, are they not written  ^ 2
king of egypt came up against jerusalem,  ^ 2
slept with his fathers, and they buried him in the city  ^ 2
with his fathers, and they buried him in the city of david:  ^ 2
lo, they are written in the book of the kings  ^ 2
they are written in the book of the kings of judah  ^ 2
in the book of the kings of judah and israel.  ^ 2
to ramoth-gilead to battle, or shall i forbear?  ^ 2
but jehoshaphat said, is there not here a prophet  ^ 2
in the mountain, and three thousand and six hundred  ^ 2
years old when he began to reign, and he reigned twenty  ^ 2
revolted from under the hand of judah unto  ^ 2
from under the hand of judah unto this  ^ 2
the hand of judah unto this day.  ^ 2
the prophet, saying, thus saith the lord  ^ 2
and two years old when he began to reign, and he reigned  ^ 2
and he reigned eight years in jerusalem. and he walked  ^ 2
eight years in jerusalem. and he walked in the way  ^ 2
years in jerusalem. and he walked in the way of the kings  ^ 2
in jerusalem. and he walked in the way of the kings of israel,  ^ 2
her son was dead, she arose and destroyed all  ^ 2
was dead, she arose and destroyed all the seed  ^ 2
the mother of ahaziah saw that her son  ^ 2
of ahaziah saw that her son was dead,  ^ 2
saw that her son was dead, she arose  ^ 2
that her son was dead, she arose and destroyed  ^ 2
the son of ahaziah, and stole him from among the king's  ^ 2
of ahaziah, and stole him from among the king's sons  ^ 2
took joash the son of ahaziah, and stole  ^ 2
joash the son of ahaziah, and stole him from among  ^ 2
the son of jehoram king of judah went down  ^ 2
of jehoram king of judah went down to see  ^ 2
and slew mattan the priest of baal before  ^ 2
mattan the priest of baal before the altars.  ^ 2
this is the thing that ye shall do; a third part  ^ 2
is the thing that ye shall do; a third part of  ^ 2
every man his men that were to come in on the sabbath, with  ^ 2
did according to all things that jehoiada the priest  ^ 2
years old when he began to reign, and he reigned forty  ^ 2
did that which was right in the sight of the lord all  ^ 2
and he reigned twenty and nine years in jerusalem.  ^ 2
twenty and nine years in jerusalem. and his mother's  ^ 2
and nine years in jerusalem. and his mother's name  ^ 2
years in jerusalem. and his mother's name was jehoaddan  ^ 2
of jehu, king of israel, saying, come,  ^ 2
amaziah king of judah, saying, the thistle  ^ 2
king of judah, saying, the thistle that  ^ 2
of judah, saying, the thistle that was in lebanon  ^ 2
saying, the thistle that was in lebanon sent  ^ 2
the thistle that was in lebanon sent to  ^ 2
that was in lebanon sent to the cedar  ^ 2
was in lebanon sent to the cedar that  ^ 2
sent to the cedar that was in lebanon,  ^ 2
to the cedar that was in lebanon, saying,  ^ 2
the cedar that was in lebanon, saying, give  ^ 2
that was in lebanon, saying, give thy daughter  ^ 2
was in lebanon, saying, give thy daughter to my son  ^ 2
saying, give thy daughter to my son to wife:  ^ 2
give thy daughter to my son to wife: and there passed by  ^ 2
thy daughter to my son to wife: and there passed by a wild  ^ 2
to my son to wife: and there passed by a wild beast  ^ 2
to wife: and there passed by a wild beast that  ^ 2
and there passed by a wild beast that was in lebanon,  ^ 2
a wild beast that was in lebanon, and trod down  ^ 2
beast that was in lebanon, and trod down the thistle.  ^ 2
of israel sent to amaziah king  ^ 2
sent to amaziah king of judah,  ^ 2
to amaziah king of judah, saying,  ^ 2
of jerusalem. and he did that which was right in the sight of the lord,  ^ 2
that thou shouldest fall, even thou, and judah with but amaziah  ^ 2
even thou, and judah with but amaziah would not  ^ 2
at beth-shemesh, which belongeth to judah. and judah was put to the worse  ^ 2
which belongeth to judah. and judah was put to the worse before  ^ 2
and broke down the wall of jerusalem from the gate of ephraim  ^ 2
the corner gate, four hundred cubits.  ^ 2
of israel took amaziah king of judah,  ^ 2
took amaziah king of judah, the son  ^ 2
of joash son of jehoahaz king of israel  ^ 2
son of jehoahaz king of israel fifteen  ^ 2
of jehoahaz king of israel fifteen years.  ^ 2
and amaziah the son of joash king of judah  ^ 2
the son of joash king of judah lived  ^ 2
of joash king of judah lived after  ^ 2
king of judah lived after the death  ^ 2
the lord commanded, saying, the fathers shall not  ^ 2
after that the king slept with his fathers.  ^ 2
and restored it to judah, after that the king slept  ^ 2
it to judah, after that the king slept with  ^ 2
a leper unto the day of his death, and dwelt  ^ 2
unto the day of his death, and dwelt in a several  ^ 2
of jerusalem. and he did that which was right in the sight  ^ 2
jerusalem. and he did that which was right in the sight of the lord,  ^ 2
of the lord, according to all that his father amaziah  ^ 2
years old when he began to reign, and he reigned sixteen  ^ 2
old when he began to reign, and he reigned sixteen years  ^ 2
the daughter of zadok. and he did that which was right in the sight  ^ 2
in the book of the kings of israel and judah.  ^ 2
behold, they are written in the book of the kings  ^ 2
whom the lord had cast out before the children  ^ 2
the lord had cast out before the children of israel.  ^ 2
in the high places, and on the hills, and under every  ^ 2
and on the hills, and under every green  ^ 2
the hills, and under every green tree.  ^ 2
in the sight of the lord, according to all that david  ^ 2
of the lord, according to all that david his father  ^ 2
cubits, reaching to the wall of the house: and the other  ^ 2
reaching to the wall of the house: and the other wing  ^ 2
and manasseh his son reigned in his stead. manasseh  ^ 2
his son reigned in his stead. manasseh was twelve  ^ 2
reigned in his stead. manasseh was twelve years  ^ 2
in his stead. manasseh was twelve years old  ^ 2
manasseh was twelve years old when he began to reign,  ^ 2
before the children of israel. and the lord spoke  ^ 2
and amon his son reigned in his stead. amon  ^ 2
against king amon; and the people of the land  ^ 2
of the land slew all them that had conspired against  ^ 2
slew all them that had conspired against king  ^ 2
all them that had conspired against king amon;  ^ 2
them that had conspired against king amon; and the people  ^ 2
again the high places which hezekiah his father  ^ 2
and he built altars for all the host of heaven  ^ 2
altars for all the host of heaven in the two  ^ 2
for all the host of heaven in the two courts  ^ 2
the host of heaven in the two courts of the house  ^ 2
of heaven in the two courts of the house of the lord.  ^ 2
and to solomon his son, in this house,  ^ 2
solomon his son, in this house, and in jerusalem,  ^ 2
his son, in this house, and in jerusalem, which  ^ 2
in this house, and in jerusalem, which i have chosen  ^ 2
of israel, will i put my name forever: neither  ^ 2
in his stead. josiah was eight years old  ^ 2
josiah was eight years old when he began to reign,  ^ 2
years old when he began to reign, and he reigned in jerusalem  ^ 2
the scribe, i have found the book of the law in the house  ^ 2
i have found the book of the law in the house of the lord.  ^ 2
the book of the law in the house of the lord. and hilkiah  ^ 2
shaphan the scribe, i have found the book of the law  ^ 2
me a book. and shaphan read it before the king.  ^ 2
and shaphan read it before the king. and it came to pass,  ^ 2
read it before the king. and it came to pass, when the king  ^ 2
it before the king. and it came to pass, when the king had heard  ^ 2
the king. and it came to pass, when the king had heard the words  ^ 2
and he did that which was right in the sight of the lord, and walked  ^ 2
of the law, that he rent his clothes. and the king commanded  ^ 2
for great is the wrath of the lord that  ^ 2
huldah the prophetess, the wife of shallum the son  ^ 2
keeper of the wardrobe; (now she dwelt in jerusalem  ^ 2
them, thus saith the lord god of israel,  ^ 2
saith the lord god of israel, tell  ^ 2
evil upon this place, and upon  ^ 2
this place, and upon the inhabitants thereof, even  ^ 2
place, and upon the inhabitants thereof, even all  ^ 2
that sent you to thus saith  ^ 2
sent you to thus saith the lord,  ^ 2
you to thus saith the lord, behold,  ^ 2
that they might provoke me to anger with all the works of their hands;  ^ 2
they might provoke me to anger with all the works of their hands; therefore my wrath  ^ 2
because they have forsaken me, and have burned incense unto other gods,  ^ 2
they have forsaken me, and have burned incense unto other gods, that  ^ 2
me, and have burned incense unto other gods, that they might provoke me to anger  ^ 2
unto other gods, that they might provoke me to anger with all  ^ 2
gods, that they might provoke me to anger with all the works  ^ 2
against this place, and against the inhabitants  ^ 2
which thou hast heard; because thine heart was tender,  ^ 2
and he read in their ears all the words of the book  ^ 2
in their ears all the words of the book of the covenant  ^ 2
and the king went up into the house of the lord, and all  ^ 2
went up into the house of the lord, and all the men  ^ 2
a covenant before the lord, to walk after  ^ 2
before the lord, to walk after the lord,  ^ 2
the lord, to walk after the lord, and to keep  ^ 2
and made a covenant before the lord, to walk  ^ 2
of the land took jehoahaz the son of josiah,  ^ 2
zedekiah was one and twenty years old  ^ 2
was one and twenty years old when he began to reign,  ^ 2
jehoahaz was twenty and three years old  ^ 2
years old when he began to reign, and he reigned three  ^ 2
old when he began to reign, and he reigned three months  ^ 2
the lord stirred up the spirit of cyrus king  ^ 2
stirred up the spirit of cyrus king of persia,  ^ 2
the spirit of cyrus king of persia, that he made a proclamation  ^ 2
of cyrus king of persia, that he made a proclamation throughout all  ^ 2
king of persia, that he made a proclamation throughout all his kingdom,  ^ 2
of persia, that he made a proclamation throughout all his kingdom, and put it also  ^ 2
that he made a proclamation throughout all his kingdom, and put it also in writing,  ^ 2
throughout all his kingdom, and put it also in writing, saying,  ^ 2
now in the first year of cyrus king of persia,  ^ 2
year of cyrus king of persia, that the word  ^ 2
of cyrus king of persia, that the word of the lord  ^ 2
his kingdom, and put it also in writing, saying, thus  ^ 2
and put it also in writing, saying, thus saith  ^ 2
which is in judah. who is there among you of all his people?  ^ 2
in writing, saying, thus saith cyrus  ^ 2
saying, thus saith cyrus king  ^ 2
thus saith cyrus king of persia,  ^ 2
jehoiakim was twenty and five years old  ^ 2
to cover the two pommels of the chapiters which  ^ 2
and praised the lord, saying , for he is good; for  ^ 2
the lord, saying , for he is good; for his mercy  ^ 2
with thy servant david my father that which thou hast promised  ^ 2
house; then hear thou from the heavens,  ^ 2
the will of god, and timothy our brother,  ^ 2
christ by the will of god, and  ^ 2
by the will of god, and timothy  ^ 2
grace be to you and peace from  ^ 2
be to you and peace from god  ^ 2
and peace from god our  ^ 2
peace from god our father,  ^ 2
and from the lord jesus christ. blessed  ^ 2
lord jesus christ, the father  ^ 2
even the father of our lord jesus  ^ 2
the father of our lord jesus christ,  ^ 2
of our lord jesus christ, the  ^ 2
out of the body, i cannot tell: god  ^ 2
of the body, i cannot tell: god knoweth;)  ^ 2
in the mouth of two or three  ^ 2
the mouth of two or three witnesses  ^ 2
the grace of the lord jesus  ^ 2
that the life also of jesus  ^ 2
the life also of jesus might be made manifest  ^ 2
life also of jesus might be made manifest in  ^ 2
