Phrase ^ Count
thus saith the lord  ^ 223
with the twelve.  ^ 3
the twelve. and  ^ 3
to jerusalem: and  ^ 3
disciples, and saith  ^ 3
the chief priests, and  ^ 3
read in the  ^ 3
the scribes that  ^ 3
my son. but  ^ 3
such as was not  ^ 3
and the stars  ^ 3
from the four  ^ 3
his angels, and  ^ 3
for ye know not  ^ 3
shall deceive many. and  ^ 3
by whom the  ^ 3
son of man is betrayed  ^ 3
all the chief priests  ^ 3
elders and the  ^ 3
coming in the  ^ 3
in the clouds  ^ 3
what think ye?  ^ 3
the cock crew. and  ^ 3
pilate said unto them,  ^ 3
their heads, and  ^ 3
come down from the  ^ 3
jesus cried with a loud  ^ 3
was mary magdalene,  ^ 3
magdalene, and mary  ^ 3
and of the  ^ 3
them that they should not  ^ 3
unto him. and  ^ 3
the prince of the  ^ 3
unto him, behold, thy  ^ 3
my brother, and  ^ 3
into the country  ^ 3
and straightway the  ^ 3
and he charged them  ^ 3
i say unto you, it shall be  ^ 3
unto you, it shall be more tolerable  ^ 3
in the day of judgment,  ^ 3
one of the prophets.  ^ 3
the baptist. and  ^ 3
and the king  ^ 3
and joses, and  ^ 3
a desert place, and  ^ 3
how many loaves have  ^ 3
and they did all eat,  ^ 3
they did all eat, and  ^ 3
upon the sea,  ^ 3
unto him the  ^ 3
the man. and  ^ 3
he charged them that  ^ 3
them that they should tell  ^ 3
that they should tell no man  ^ 3
his life for my sake  ^ 3
to sit down on the  ^ 3
and were filled: and  ^ 3
were filled: and they took up  ^ 3
to enter into life  ^ 3
than having two  ^ 3
fire is not quenched.  ^ 3
where their worm  ^ 3
their worm dieth  ^ 3
worm dieth not,  ^ 3
dieth not, and  ^ 3
not, and the  ^ 3
the fire is not  ^ 3
if thine eye  ^ 3
eye offend thee,  ^ 3
from the mountain,  ^ 3
all this was done,  ^ 3
this was done, that  ^ 3
that it might be fulfilled which  ^ 3
it might be fulfilled which was spoken  ^ 3
is not worthy  ^ 3
saying, the kingdom  ^ 3
kingdom of heaven is at hand.  ^ 3
it came to pass, when jesus  ^ 3
 jesus answered  ^ 3
great multitudes followed  ^ 3
isaiah the prophet,  ^ 3
but when the pharisees  ^ 3
the sign of the  ^ 3
which is in heaven,  ^ 3
of my father which  ^ 3
of the kingdom, and  ^ 3
is he that heareth the  ^ 3
are the children  ^ 3
again, the kingdom  ^ 3
and when the disciples  ^ 3
out of the mouth  ^ 3
on earth shall be  ^ 3
the sun, and  ^ 3
kingdom of heaven. and  ^ 3
and cast it from  ^ 3
cast it from thee:  ^ 3
temple of god, and  ^ 3
and the remnant  ^ 3
for one is  ^ 3
one is your  ^ 3
whosoever shall swear by  ^ 3
shall swear by the  ^ 3
upon the earth:  ^ 3
all the world  ^ 3
shall also the coming  ^ 3
coming of the son  ^ 3
son of man be.  ^ 3
holy city, and  ^ 3
for i know that  ^ 3
shall be in danger of the  ^ 3
your heavenly father  ^ 3
i say unto you, they have  ^ 3
unto you, they have their  ^ 3
they have their reward.  ^ 3
their reward. but  ^ 3
shall reward thee openly.  ^ 3
hundred twenty and eight.  ^ 3
it, and set up the doors thereof, the locks  ^ 3
the son of berechiah, the son  ^ 3
unto moses in the wilderness  ^ 3
moses in the wilderness of sinai,  ^ 3
of all the congregation of the children  ^ 3
and five hundred. of the children  ^ 3
thousand and three hundred.  ^ 3
and four thousand and four  ^ 3
and two thousand and two hundred.  ^ 3
and five thousand and four  ^ 3
and two thousand and seven  ^ 3
thousand and seven hundred.  ^ 3
and three thousand and four  ^ 3
which moses and aaron  ^ 3
six hundred thousand  ^ 3
the commandment of the lord by the hand  ^ 3
according to their armies: and over his host  ^ 3
in the tabernacle of the congregation before  ^ 3
and joshua the son of nun.  ^ 3
moses and against aaron,  ^ 3
and eleazar the priest took  ^ 3
shall be unclean seven days.  ^ 3
and his host, and those that were numbered of them, were forty  ^ 3
saying, take the sum  ^ 3
by jordan near jericho,  ^ 3
jordan near jericho, saying,  ^ 3
hundred. these are the sons  ^ 3
by jordan near jericho.  ^ 3
the continual burnt offering, and his drink offering.  ^ 3
ram, seven lambs  ^ 3
seven lambs of the first  ^ 3
unto the lord; two young  ^ 3
two young bullocks,  ^ 3
tenth deals of flour for a meat offering,  ^ 3
savor, a sacrifice made by fire unto the lord.  ^ 3
ram, and seven lambs  ^ 3
and seven lambs of the first  ^ 3
lamb, throughout the seven lambs:  ^ 3
ye shall have a holy convocation;  ^ 3
lambs of the first year;  ^ 3
shall be of flour mingled with oil,  ^ 3
burnt offering, and his meat offering, and his drink offering.  ^ 3
year without blemish: and their meat offering  ^ 3
instead of all the firstborn  ^ 3
of all the males, from a month  ^ 3
the males, from a month old  ^ 3
and the chief of the house of the father  ^ 3
all the firstborn among the children  ^ 3
her soul shall stand. but if  ^ 3
unto them, when ye  ^ 3
he is a murderer: the murderer  ^ 3
is a murderer: the murderer shall surely be put to death.  ^ 3
side two thousand cubits,  ^ 3
of badgers' skins, and shall put  ^ 3
a cloth of blue, and cover  ^ 3
this is the service of the families  ^ 3
of ithamar the son of aaron  ^ 3
the son of aaron the priest.  ^ 3
of the families of the sons of merari,  ^ 3
old, every one that entereth  ^ 3
every one that entereth into the service,  ^ 3
that entereth into the service, for the work  ^ 3
into the service, for the work in the tabernacle  ^ 3
in the tabernacle of the congregation, even those that were numbered  ^ 3
whom moses and aaron  ^ 3
so did the children  ^ 3
was one silver charger  ^ 3
silver charger of the weight  ^ 3
charger of the weight of a hundred  ^ 3
of the weight of a hundred and thirty  ^ 3
of jesus christ, according  ^ 3
but i trust in  ^ 3
the righteousness which is of  ^ 3
the god of peace  ^ 3
the fear of the lord is the beginning  ^ 3
all the day for  ^ 3
hear my prayer, o lord,  ^ 3
hide not thy face  ^ 3
be thou exalted, o god, above  ^ 3
a psalm of david. the lord  ^ 3
he is their help and their shield.  ^ 3
say, that his mercy  ^ 3
that his mercy endureth forever.  ^ 3
bless the lord, o house  ^ 3
his mercy endureth forever. o give thanks  ^ 3
no, not one.  ^ 3
that doeth good, no,  ^ 3
good, no, not  ^ 3
a psalm of david. hear  ^ 3
to the chief musician on neginoth, a psalm  ^ 3
for i shall yet praise  ^ 3
why art thou cast down, o my soul?  ^ 3
to the chief musician, a psalm for the sons  ^ 3
to the chief musician, al-taschith, michtam  ^ 3
to the chief musician upon gittith,  ^ 3
and in the midst  ^ 3
out of his mouth  ^ 3
for the testimony  ^ 3
the testimony of jesus  ^ 3
i heard a voice from  ^ 3
from heaven saying  ^ 3
earth. and after  ^ 3
and the four and twenty  ^ 3
having seven heads  ^ 3
the sand of the  ^ 3
the earth and  ^ 3
and the beast  ^ 3
and power was given  ^ 3
and there was given unto him  ^ 3
the book of life  ^ 3
in their foreheads.  ^ 3
of the wine  ^ 3
the wine of the  ^ 3
wine of the wrath  ^ 3
the beast and  ^ 3
his image, and  ^ 3
and behold a white  ^ 3
and he that sat on  ^ 3
out of the temple  ^ 3
and cast it into  ^ 3
cast it into the  ^ 3
and as the voice  ^ 3
four beasts, and  ^ 3
before the throne  ^ 3
i saw another angel  ^ 3
i heard a great voice  ^ 3
a great voice out of  ^ 3
the mouth of the  ^ 3
of the beast, and  ^ 3
and i heard the  ^ 3
and the fourth  ^ 3
which had the seven  ^ 3
seven angels which had  ^ 3
angels which had the  ^ 3
the beast that  ^ 3
was, and is  ^ 3
and the lamb  ^ 3
shall be heard no more at all in  ^ 3
no more at all in thee;  ^ 3
in thee; and  ^ 3
kings of the earth,  ^ 3
the four and twenty elders  ^ 3
saith unto the churches;  ^ 3
these things saith the  ^ 3
and are not,  ^ 3
was cast into the  ^ 3
into the lake  ^ 3
the thousand years  ^ 3
and the city  ^ 3
of the prophecy of this  ^ 3
unto the churches. and  ^ 3
the throne. and  ^ 3
round about the throne,  ^ 3
which are the  ^ 3
and i beheld, and  ^ 3
to open the book,  ^ 3
beast say, come  ^ 3
say, come and  ^ 3
nor of their  ^ 3
nor awake my love,  ^ 3
and their wives apart; the family  ^ 3
apart; the family of the house  ^ 3
of hosts hath sent me unto  ^ 3
sheba, and dedan. and cush  ^ 2
and dedan. and cush begot  ^ 2
and cush begot nimrod:  ^ 2
begot nimrod: he  ^ 2
nimrod: he began  ^ 2
he began to be  ^ 2
and mizraim begot ludim,  ^ 2
begot ludim, and anamim,  ^ 2
ludim, and anamim, and lehabim,  ^ 2
and anamim, and lehabim, and naphtuhim,  ^ 2
and lehabim, and naphtuhim, and pathrusim,  ^ 2
and naphtuhim, and pathrusim, and casluhim,  ^ 2
and the hivite, and the arkite, and the sinite,  ^ 2
and the arkite, and the sinite, and the arvadite,  ^ 2
and the sinite, and the arvadite, and the zemarite,  ^ 2
of shem; elam, and asshur,  ^ 2
elam, and asshur, and arphaxad,  ^ 2
and asshur, and arphaxad, and lud,  ^ 2
begot eber. and unto eber  ^ 2
and his brother's name was joktan.  ^ 2
eber. and unto eber were born  ^ 2
and unto eber were born two  ^ 2
were born two sons:  ^ 2
two sons: the name  ^ 2
name was joktan. and joktan  ^ 2
was joktan. and joktan begot  ^ 2
and joktan begot almodad,  ^ 2
begot almodad, and sheleph,  ^ 2
almodad, and sheleph, and hazarmaveth,  ^ 2
and sheleph, and hazarmaveth, and jerah,  ^ 2
and abimael, and sheba, and ophir,  ^ 2
and sheba, and ophir, and havilah,  ^ 2
these were the sons of joktan.  ^ 2
and tema, jetur, naphish,  ^ 2
and medan, and midian, and ishbak,  ^ 2
and midian, and ishbak, and shuah.  ^ 2
zimran, and jokshan, and medan,  ^ 2
and jokshan, and medan, and midian,  ^ 2
sheba, and dedan. and the sons  ^ 2
all these are the sons  ^ 2
and the sons of midian; ephah,  ^ 2
of midian; ephah, and epher,  ^ 2
and abida, and eldaah. all  ^ 2
and eldaah. all these  ^ 2
lotan, and shobal, and zibeon,  ^ 2
and shobal, and zibeon, and anah,  ^ 2
and zibeon, and anah, and dishon,  ^ 2
and anah, and dishon, and ezer,  ^ 2
and esh-ban, and ithran, and cheran.  ^ 2
and the name of his city was dinhabah.  ^ 2
are the kings that reigned  ^ 2
that reigned in the land  ^ 2
the son of zerah of bozrah  ^ 2
of zerah of bozrah reigned  ^ 2
of bozrah reigned in his stead.  ^ 2
in the field of moab, reigned  ^ 2
of moab, reigned in his stead:  ^ 2
and the name of his city was avith.  ^ 2
midian in the field of moab,  ^ 2
of masrekah reigned in his stead.  ^ 2
of rehoboth by the river reigned  ^ 2
by the river reigned in his stead.  ^ 2
the son of achbor reigned  ^ 2
of achbor reigned in his stead.  ^ 2
the sons of japheth; gomer,  ^ 2
of japheth; gomer, and magog,  ^ 2
gomer, and magog, and madai,  ^ 2
and magog, and madai, and javan,  ^ 2
and madai, and javan, and tubal,  ^ 2
and javan, and tubal, and meshech,  ^ 2
and tubal, and meshech, and tiras.  ^ 2
and his wife's name was mehetabel,  ^ 2
name was mehetabel, the daughter  ^ 2
was mehetabel, the daughter of matred,  ^ 2
the daughter of matred, the daughter  ^ 2
of matred, the daughter of mezahab.  ^ 2
duke timnah, duke  ^ 2
duke jetheth, duke  ^ 2
jetheth, duke aholibamah,  ^ 2
duke aholibamah, duke  ^ 2
aholibamah, duke elah,  ^ 2
duke elah, duke  ^ 2
elah, duke pinon,  ^ 2
duke pinon, duke  ^ 2
pinon, duke kenaz,  ^ 2
kenaz, duke teman,  ^ 2
teman, duke mibzar,  ^ 2
duke mibzar, duke  ^ 2
mibzar, duke magdiel,  ^ 2
duke magdiel, duke  ^ 2
and meshech, and tiras. and the sons  ^ 2
and tiras. and the sons of gomer;  ^ 2
and riphath, and togarmah. and the sons  ^ 2
and togarmah. and the sons of javan;  ^ 2
and the sons of javan; elishah,  ^ 2
of javan; elishah, and tarshish,  ^ 2
elishah, and tarshish, kittim,  ^ 2
and tarshish, kittim, and dodanim.  ^ 2
of ham; cush, and mizraim,  ^ 2
and the sons of raamah; sheba,  ^ 2
of raamah; sheba, and dedan.  ^ 2
and canaan. and the sons of cush;  ^ 2
and the sons of cush; seba,  ^ 2
of cush; seba, and havilah,  ^ 2
the philistines, and fell down slain  ^ 2
and fell down slain in mount  ^ 2
slain in mount gilboa.  ^ 2
and the men of israel fled  ^ 2
of israel fled from before  ^ 2
fled from before the philistines,  ^ 2
from before the philistines, and fell down  ^ 2
and they put his armor in the house  ^ 2
and fasted seven days.  ^ 2
the word of the lord, which  ^ 2
in mount gilboa. and the philistines  ^ 2
slew jonathan, and abinadab,  ^ 2
jonathan, and abinadab, and malchi-shua,  ^ 2
and the philistines slew jonathan,  ^ 2
and the battle went sore against  ^ 2
went sore against saul,  ^ 2
against saul, and the archers  ^ 2
saul, and the archers hit  ^ 2
therewith; lest these uncircumcised  ^ 2
these uncircumcised come  ^ 2
and abuse me. but his armorbearer would  ^ 2
me. but his armorbearer would not;  ^ 2
would not; for  ^ 2
took a sword, and fell  ^ 2
a sword, and fell upon  ^ 2
draw thy sword, and thrust me through  ^ 2
thy sword, and thrust me through therewith; lest  ^ 2
and thrust me through therewith; lest these  ^ 2
and fell upon and when his armorbearer  ^ 2
upon and when his armorbearer saw  ^ 2
and when his armorbearer saw that  ^ 2
that saul was dead,  ^ 2
saul was dead, he  ^ 2
was dead, he fell  ^ 2
he fell likewise  ^ 2
so saul died, and his three  ^ 2
died, and his three sons,  ^ 2
and that saul and his sons  ^ 2
saul and his sons were dead,  ^ 2
and the philistines came and dwelt  ^ 2
fallen in mount gilboa.  ^ 2
when the philistines came to strip  ^ 2
came to strip the slain,  ^ 2
to strip the slain, that they found  ^ 2
the slain, that they found saul  ^ 2
and sent into the land of the philistines  ^ 2
into the land of the philistines round about,  ^ 2
behold, we are thy bone  ^ 2
we are thy bone and thy flesh.  ^ 2
to david unto hebron,  ^ 2
saying, behold, we  ^ 2
lifted up his spear against  ^ 2
time. and after him was eleazar  ^ 2
and after him was eleazar the son  ^ 2
of rephaim. and david was then  ^ 2
and david longed, and said,  ^ 2
and said, oh that one would give me drink  ^ 2
oh that one would give me drink of the water  ^ 2
of the water of the well of bethlehem,  ^ 2
of bethlehem, that was by the gate,  ^ 2
that was by the gate, and took  ^ 2
was by the gate, and took it , and brought  ^ 2
and took it , and brought it to  ^ 2
it , and brought it to david:  ^ 2
broke through the host of the philistines,  ^ 2
the host of the philistines, and drew  ^ 2
of the philistines, and drew water  ^ 2
and drew water out of the well  ^ 2
water out of the well of bethlehem,  ^ 2
out of the well of bethlehem, that  ^ 2
drink it. these things did  ^ 2
it. these things did these three  ^ 2
and broughtest in israel: and the lord  ^ 2
shalt feed my people israel,  ^ 2
my people israel, and thou  ^ 2
israel, and thou shalt be  ^ 2
ruler over my people  ^ 2
against three hundred,  ^ 2
not to the first three.  ^ 2
their captain: howbeit he attained not  ^ 2
he slew two  ^ 2
slew two lionlike men  ^ 2
two lionlike men of moab:  ^ 2
the son of jehoiada, the son  ^ 2
of jehoiada, the son of a valiant  ^ 2
to him with a staff, and plucked  ^ 2
him with a staff, and plucked the spear  ^ 2
and plucked the spear out of the egyptian's hand,  ^ 2
the spear out of the egyptian's hand, and slew  ^ 2
out of the egyptian's hand, and slew him with his own spear.  ^ 2
and he slew an egyptian,  ^ 2
and slew him with his own spear. these  ^ 2
him with his own spear. these things did  ^ 2
these things did benaiah  ^ 2
things did benaiah the son  ^ 2
the son of jehoiada, and had the name  ^ 2
and david set him over  ^ 2
set him over his guard.  ^ 2
elhanan the son of dodo  ^ 2
the son of dodo of bethlehem,  ^ 2
ira the son of ikkesh  ^ 2
the son of ikkesh the tekoite,  ^ 2
of ikkesh the tekoite, abiezer  ^ 2
and they anointed david king  ^ 2
king over israel,  ^ 2
to the king to hebron;  ^ 2
the ahohite, maharai the netophathite,  ^ 2
of benjamin, benaiah the pirathonite,  ^ 2
the hararite, ahiam the son  ^ 2
zelek the ammonite, naharai  ^ 2
and david and all israel  ^ 2
the son of zeruiah, ira  ^ 2
hither. nevertheless david took  ^ 2
is the city of david. and david  ^ 2
of david. and david said,  ^ 2
and came to david  ^ 2
to david to hebron,  ^ 2
thousand and eight hundred,  ^ 2
and of the children of benjamin,  ^ 2
such as went forth to battle, expert  ^ 2
to battle, expert in war,  ^ 2
all these men  ^ 2
to this day.  ^ 2
and david was displeased, because  ^ 2
was displeased, because the lord  ^ 2
because the lord had made  ^ 2
the lord had made a breach  ^ 2
this day. and david  ^ 2
day. and david was afraid  ^ 2
of obed-edom the gittite. and the ark  ^ 2
the house of obed-edom, and all  ^ 2
of obed-edom, and all that  ^ 2
and david said unto all  ^ 2
if it seem good unto  ^ 2
gathered all israel  ^ 2
whose name is called  ^ 2
of tyre sent messengers  ^ 2
them into mine hand? and the lord said  ^ 2
of rephaim. and david inquired  ^ 2
of that place baal-perazim.  ^ 2
them, and come upon them over against the mulberry trees.  ^ 2
in the tops of the mulberry trees, that then  ^ 2
and david perceived that  ^ 2
him king over israel,  ^ 2
and nogah, and nepheg, and japhia,  ^ 2
israel, all the philistines  ^ 2
and when the philistines heard that  ^ 2
god of israel unto  ^ 2
to bring up the ark of the lord  ^ 2
and mattithiah, and elipheleh, and mikneiah,  ^ 2
and elipheleh, and mikneiah, and obed-edom,  ^ 2
and mikneiah, and obed-edom, and jeiel,  ^ 2
and shemiramoth, and jehiel, and unni,  ^ 2
to bring up the ark of the covenant  ^ 2
bullocks and seven rams.  ^ 2
of the covenant of the lord came  ^ 2
the ark of the lord unto  ^ 2
and david gathered all  ^ 2
jerusalem, to bring up the ark  ^ 2
that david had pitched  ^ 2
ye of all his wondrous works. glory  ^ 2
his wondrous works. glory ye in his holy  ^ 2
glory ye in his holy name:  ^ 2
ye in his holy name: let the heart  ^ 2
name: let the heart of them rejoice  ^ 2
let the heart of them rejoice that seek  ^ 2
of them rejoice that seek the lord.  ^ 2
that seek the lord. seek  ^ 2
remember his marvelous works that  ^ 2
his wonders, and the judgments of his mouth;  ^ 2
and the judgments of his mouth; o ye seed  ^ 2
his judgments are in all the earth.  ^ 2
the word which he commanded to a thousand  ^ 2
for a law, and to israel for an everlasting  ^ 2
