Phrase ^ Count
thus saith the lord god;  ^ 95
ye have known him that is from the beginning.  ^ 2
and the word of god  ^ 2
abideth in you, and  ^ 2
is not in him.  ^ 2
but he that doeth the will  ^ 2
not the truth, but  ^ 2
father and the son.  ^ 2
which ye have heard from the beginning.  ^ 2
and hateth his brother,  ^ 2
is not of god,  ^ 2
if the world hate  ^ 2
the love of god in  ^ 2
and hereby we know that  ^ 2
if our heart condemn  ^ 2
dwelleth in him, and  ^ 2
of the devil; for  ^ 2
whosoever is born of god  ^ 2
jesus is the son  ^ 2
christ is come in the flesh  ^ 2
is come in the flesh is  ^ 2
every spirit that confesseth  ^ 2
not that jesus christ is come  ^ 2
the world, and the  ^ 2
world, and the world  ^ 2
into the world, that  ^ 2
he that believeth on the son  ^ 2
the son of god hath  ^ 2
on the name of the  ^ 2
the name of the son  ^ 2
son of god. and this  ^ 2
of god. and this is  ^ 2
that the son of god  ^ 2
the spirit, and the  ^ 2
saying, assuredly solomon thy son  ^ 2
assuredly solomon thy son shall reign  ^ 2
me, and he shall sit upon my throne?  ^ 2
oxen and fat cattle and sheep in abundance,  ^ 2
and fat cattle and sheep in abundance, and hath called  ^ 2
and sheep in abundance, and hath called all  ^ 2
on the throne of my lord the king  ^ 2
the throne of my lord the king after  ^ 2
the priest, and benaiah the son of jehoiada,  ^ 2
and stood before the king. and the king  ^ 2
the prophet, and benaiah the son of jehoiada,  ^ 2
and benaiah the son of jehoiada, and the cherethites,  ^ 2
the son of jehoiada, and the cherethites, and the pelethites,  ^ 2
and fifty men to run before  ^ 2
and caught hold on the horns of the altar. and it was told  ^ 2
king solomon. and when the queen of sheba  ^ 2
solomon. and when the queen of sheba heard  ^ 2
judgment and justice. and she gave the king  ^ 2
and justice. and she gave the king a hundred  ^ 2
and she gave the king a hundred and twenty  ^ 2
the king a hundred and twenty talents  ^ 2
a hundred and twenty talents of gold,  ^ 2
and twenty talents of gold, and of spices  ^ 2
and precious stones. and the king made  ^ 2
her desire, whatsoever she asked, beside  ^ 2
whatsoever she asked, beside that which  ^ 2
of sheba all her desire, whatsoever  ^ 2
all her desire, whatsoever she asked,  ^ 2
year was six hundred  ^ 2
she and her servants. now the weight of gold  ^ 2
and her servants. now the weight of gold that  ^ 2
now the weight of gold that came  ^ 2
of gold that came to solomon  ^ 2
that came to solomon in one  ^ 2
came to solomon in one year  ^ 2
to solomon in one year was  ^ 2
in one year was six  ^ 2
hundred shekels of gold went to  ^ 2
shekels of gold went to one  ^ 2
went to one target.  ^ 2
and king solomon made two hundred  ^ 2
solomon made two hundred targets  ^ 2
made two hundred targets of beaten  ^ 2
two hundred targets of beaten gold:  ^ 2
targets of beaten gold: six  ^ 2
of beaten gold: six hundred  ^ 2
and the king put them in the house of the forest  ^ 2
put them in the house of the forest of lebanon.  ^ 2
them in the house of the forest of lebanon. moreover the king  ^ 2
of the forest of lebanon. moreover the king made  ^ 2
of lebanon. moreover the king made a great  ^ 2
moreover the king made a great throne  ^ 2
made a great throne of ivory,  ^ 2
a great throne of ivory, and overlaid  ^ 2
and precious stones: and when she was come to  ^ 2
stones: and when she was come to solomon,  ^ 2
and when she was come to solomon, she communed  ^ 2
to solomon, she communed with  ^ 2
she communed with him of all  ^ 2
with him of all that  ^ 2
him of all that was  ^ 2
that was in her heart.  ^ 2
there was not the like made in any  ^ 2
the like made in any kingdom.  ^ 2
and twelve lions stood there  ^ 2
on the one side and on the other upon the six  ^ 2
made in any kingdom. and all  ^ 2
and all the vessels of the house of the forest  ^ 2
the vessels of the house of the forest of lebanon  ^ 2
of the house of the forest of lebanon were of pure  ^ 2
were of gold, and all the vessels of the house  ^ 2
accounted of in the days of solomon. for  ^ 2
bringing gold, and silver, ivory,  ^ 2
gold, and silver, ivory, and apes,  ^ 2
and silver, ivory, and apes, and peacocks.  ^ 2
god had put in his heart. and they  ^ 2
and spices, horses, and mules, a rate  ^ 2
horses, and mules, a rate year  ^ 2
and mules, a rate year by year.  ^ 2
had put in his heart. and they brought  ^ 2
in his heart. and they brought every man  ^ 2
and they brought every man his present,  ^ 2
brought every man his present, vessels  ^ 2
every man his present, vessels of silver,  ^ 2
his present, vessels of silver, and vessels  ^ 2
vessels of silver, and vessels of gold,  ^ 2
a rate year by year. and solomon  ^ 2
and four hundred chariots, and twelve  ^ 2
hundred chariots, and twelve thousand  ^ 2
chariots, and twelve thousand horsemen,  ^ 2
chariots and horsemen: and he had a thousand  ^ 2
and horsemen: and he had a thousand and four  ^ 2
and he had a thousand and four hundred  ^ 2
a thousand and four hundred chariots,  ^ 2
and with the king at jerusalem. and the king  ^ 2
the king at jerusalem. and the king made  ^ 2
at jerusalem. and the king made silver  ^ 2
merchants received the linen yarn at a price.  ^ 2
and solomon had horses brought out of egypt,  ^ 2
had horses brought out of egypt, and linen yarn:  ^ 2
brought out of egypt, and linen yarn: the king's  ^ 2
and linen yarn: the king's merchants received  ^ 2
the king's merchants received the linen yarn  ^ 2
shekels of silver, and a horse for a hundred and fifty:  ^ 2
and a horse for a hundred and fifty: and so  ^ 2
the kings of the hittites, and for the kings of syria,  ^ 2
for six hundred shekels of silver, and a horse  ^ 2
hundred shekels of silver, and a horse for a hundred  ^ 2
was in her heart. and solomon  ^ 2
in her heart. and solomon told  ^ 2
her heart. and solomon told her  ^ 2
and solomon told her all  ^ 2
told her all her questions:  ^ 2
which he told her not. and when the queen  ^ 2
he told her not. and when the queen of sheba  ^ 2
her not. and when the queen of sheba had seen  ^ 2
and the house that he had built, and the meat  ^ 2
of the lord; there was no more  ^ 2
there was no more spirit  ^ 2
that he had built, and the meat of his table,  ^ 2
he had built, and the meat of his table, and the sitting  ^ 2
and the meat of his table, and the sitting of his servants,  ^ 2
of his table, and the sitting of his servants, and the attendance  ^ 2
and the sitting of his servants, and the attendance of his ministers,  ^ 2
no more spirit and she said  ^ 2
more spirit and she said to  ^ 2
spirit and she said to the king,  ^ 2
until i came, and mine eyes had seen  ^ 2
i came, and mine eyes had seen it : and, behold,  ^ 2
are these thy servants, which stand continually  ^ 2
thy servants, which stand continually before  ^ 2
thy wisdom. blessed be the lord  ^ 2
blessed be the lord thy god,  ^ 2
be the lord thy god, which  ^ 2
the lord thy god, which delighted  ^ 2
to keep my statutes and my commandments, as  ^ 2
was not perfect with  ^ 2
not perfect with the lord  ^ 2
perfect with the lord his god,  ^ 2
reigned in jerusalem over all  ^ 2
in jerusalem over all israel  ^ 2
of david his father: and rehoboam his son  ^ 2
his father: and rehoboam his son reigned  ^ 2
and rehoboam his son reigned in his stead.  ^ 2
years. and solomon slept with  ^ 2
and solomon slept with his fathers,  ^ 2
in the city of david his father: and rehoboam  ^ 2
reigned in his stead. and rehoboam went  ^ 2
in his stead. and rehoboam went to shechem:  ^ 2
and rehoboam went to shechem: for  ^ 2
that spoke unto thee, saying,  ^ 2
spoke unto thee, saying, thy father  ^ 2
us; thus shalt thou say unto them, my little  ^ 2
shalt thou say unto them, my little finger shall be thicker  ^ 2
unto them, my little finger shall be thicker than my father's  ^ 2
them, my little finger shall be thicker than my father's loins.  ^ 2
with him spoke unto him, saying,  ^ 2
him spoke unto him, saying, thus  ^ 2
will add to your yoke: my father  ^ 2
you with whips, but i will chastise you with scorpions.  ^ 2
so jeroboam and all the people came  ^ 2
and all the people came to  ^ 2
the people came to rehoboam  ^ 2
answered the king, saying, what  ^ 2
the king, saying, what portion  ^ 2
saying, what portion have we in david?  ^ 2
neither have we inheritance in the son of jesse:  ^ 2
in the cities of judah, rehoboam reigned  ^ 2
of judah, rehoboam reigned over  ^ 2
rehoboam reigned over then king  ^ 2
and all israel stoned him with stones,  ^ 2
rehoboam made speed to get him up to his chariot,  ^ 2
made speed to get him up to his chariot, to flee  ^ 2
to get him up to his chariot, to flee to jerusalem.  ^ 2
reigned over then king rehoboam  ^ 2
over then king rehoboam sent  ^ 2
rebelled against the house of david unto  ^ 2
against the house of david unto this  ^ 2
of david unto this day.  ^ 2
to make him king. and it came to pass, when jeroboam the son  ^ 2
and it came to pass, when jeroboam the son of nebat,  ^ 2
when jeroboam the son of nebat, who  ^ 2
but the tribe of judah only.  ^ 2
a hundred and fourscore thousand chosen  ^ 2
shemaiah the man of god, saying,  ^ 2
the man of god, saying, speak  ^ 2
of god, saying, speak unto  ^ 2
the son of solomon, king of judah,  ^ 2
king of judah, and unto all  ^ 2
saith the lord, ye shall not go up,  ^ 2
the lord, ye shall not go up, nor  ^ 2
ye shall not go up, nor fight  ^ 2
go up, nor fight against  ^ 2
o israel, which brought thee up out of the land  ^ 2
which brought thee up out of the land of egypt.  ^ 2
rehoboam, saying, thy father made  ^ 2
saying, thy father made our yoke  ^ 2
thy father made our yoke grievous:  ^ 2
made our yoke grievous: now  ^ 2
stood before solomon his father  ^ 2
them, and speak good words to  ^ 2
people? and they spoke unto him, saying,  ^ 2
and they spoke unto him, saying, if  ^ 2
thy servants forever. but he forsook the counsel  ^ 2
before and he said unto them, what  ^ 2
will i eat bread nor drink  ^ 2
of the lord came unto the prophet  ^ 2
which the lord thy god commanded  ^ 2
and the lion standing by the carcass:  ^ 2
no bread, nor drink  ^ 2
bread, nor drink water,  ^ 2
against the wall, and him that is shut up and left in israel,  ^ 2
in the city shall the dogs eat; and him that dieth  ^ 2
and him that dieth in the field shall the fowls of the air  ^ 2
which he spoke by the hand of his servant  ^ 2
and one years old when he began to reign,  ^ 2
old when he began to reign, and he reigned seventeen  ^ 2
when he began to reign, and he reigned seventeen years  ^ 2
and he reigned seventeen years in jerusalem,  ^ 2
seventeen years in jerusalem, the city  ^ 2
years in jerusalem, the city which  ^ 2
in jerusalem, the city which the lord  ^ 2
out of all the tribes of israel, to put  ^ 2
the tribes of israel, to put his name  ^ 2
of israel, to put his name there.  ^ 2
to put his name there. and his mother's  ^ 2
his name there. and his mother's name  ^ 2
there. and his mother's name was naamah  ^ 2
every high hill, and under  ^ 2
high hill, and under every  ^ 2
hill, and under every green  ^ 2
of gold which solomon had made.  ^ 2
of the lord, and the treasures of the king's house;  ^ 2
of the chronicles of the kings of judah? and there was  ^ 2
of the kings of judah? and there was war  ^ 2
of judah? and there was war between  ^ 2
and there was war between rehoboam  ^ 2
war between rehoboam and jeroboam  ^ 2
between rehoboam and jeroboam all  ^ 2
and rehoboam slept with his fathers,  ^ 2
and made thee prince over my people  ^ 2
his son reigned in his stead. now in the eighteenth  ^ 2
reigned in his stead. now in the eighteenth year  ^ 2
in his stead. now in the eighteenth year of king  ^ 2
now in the eighteenth year of king jeroboam  ^ 2
name was maachah, the daughter of abishalom.  ^ 2
he in jerusalem. and his mother's name was maachah,  ^ 2
and his mother's name was maachah, the daughter  ^ 2
silver, and gold, and vessels. and there was  ^ 2
and there was war between asa  ^ 2
war between asa and baasha  ^ 2
between asa and baasha king  ^ 2
asa and baasha king of israel  ^ 2
and baasha king of israel all  ^ 2
king of israel all their days.  ^ 2
or come in to asa king of judah.  ^ 2
against judah, and built ramah,  ^ 2
to asa king of judah. then asa  ^ 2
of the lord, and the treasures of the king's house,  ^ 2
king of syria, that dwelt at damascus,  ^ 2
of syria, that dwelt at damascus, saying,  ^ 2
that dwelt at damascus, saying, there is a league  ^ 2
thy league with baasha king  ^ 2
with baasha king of israel,  ^ 2
baasha king of israel, that he may depart  ^ 2
king of israel, that he may depart from  ^ 2
at damascus, saying, there is a league between  ^ 2
my father and thy father: behold, i have sent  ^ 2
hearkened unto king asa,  ^ 2
unto king asa, and sent  ^ 2
king asa, and sent the captains  ^ 2
of naphtali. and it came to pass, when baasha heard  ^ 2
the stones of ramah, and the timber thereof, wherewith  ^ 2
of ramah, and the timber thereof, wherewith baasha  ^ 2
he built, are they not written  ^ 2
and asa slept with his fathers,  ^ 2
year of asa king of judah,  ^ 2
of asa king of judah, and reigned  ^ 2
of the lord, and walked in the way of his father,  ^ 2
which he spoke by his servant  ^ 2
of david: and asa his son reigned  ^ 2
and asa his son reigned in his stead.  ^ 2
and they buried him in the city of david: and asa  ^ 2
him in the city of david: and asa his son  ^ 2
year of jeroboam king of israel  ^ 2
and seventh year of asa king  ^ 2
the lord god of israel to anger with their vanities.  ^ 2
god of israel to anger with their vanities. now the rest  ^ 2
of israel to anger with their vanities. now the rest of the acts  ^ 2
to provoke the lord god of israel  ^ 2
reigned over israel in samaria  ^ 2
of israel that were before  ^ 2
he did, and his might, are they not  ^ 2
and his might, are they not written  ^ 2
as the lord god of israel liveth,  ^ 2
of the lord came unto him, saying,  ^ 2
the lord, and said, o lord my god,  ^ 2
cherith, that is before jordan.  ^ 2
by the brook cherith, that is before  ^ 2
that the word of the lord came to  ^ 2
and now thou sayest, go,  ^ 2
thou sayest, go, tell  ^ 2
sayest, go, tell thy lord,  ^ 2
go, tell thy lord, behold,  ^ 2
said, as the lord of hosts liveth,  ^ 2
as the lord of hosts liveth, before  ^ 2
of hosts liveth, before whom  ^ 2
and lay it on wood, and put  ^ 2
it on wood, and put no  ^ 2
wood, and put no fire  ^ 2
that thou art the lord god,  ^ 2
may know that thou art the lord  ^ 2
the children of israel have forsaken thy covenant,  ^ 2
of israel have forsaken thy covenant, thrown down  ^ 2
have forsaken thy covenant, thrown down thine altars,  ^ 2
thy covenant, thrown down thine altars, and slain  ^ 2
thrown down thine altars, and slain thy prophets  ^ 2
thine altars, and slain thy prophets with the sword;  ^ 2
and slain thy prophets with the sword; and i,  ^ 2
thy prophets with the sword; and i, even i only,  ^ 2
with the sword; and i, even i only, am left;  ^ 2
and i, even i only, am left; and they seek  ^ 2
doest thou here, elijah? and he said, i have been very jealous  ^ 2
even i only, am left; and they seek my life,  ^ 2
am left; and they seek my life, to take it away.  ^ 2
elijah? and he said, i have been very jealous for the lord  ^ 2
